Label,Flags,Avg Time (s),Std Time (s),Speedup vs O0,PSNR
O3_ZNVER4,-DLOOP_SWAP,0.08478983,0.0019740627526049475,12.910003475652683,inf
O3_ZNVER4,-DLOOP_UNROLL,0.1910049,0.0030371761171632196,5.730936745601815,inf
O3_ZNVER4,,0.2082289,0.0020800498631843747,5.256892775210358,inf
O3_ZNVER4,-DSTRENGTH_REDUCTION,0.2301059,0.003115980083020072,4.757100969597042,inf
O3_ZNVER4,-DLOOP_UNROLL2,0.2518816,0.005433816547019849,4.345839473784509,inf
O3_ZNVER4,-DCOMPILER_ASSIST,0.2949137,0.004827951441576667,3.7117197336034238,inf
O0,-DSTRENGTH_REDUCTION,0.5534191,0.006206543723272144,1.9779530558305631,inf
O0,-DLOOP_UNROLL,0.7998007,0.012851080249016692,1.3686372117453762,inf
O0,-DLOOP_SWAP,1.0020244,0.008556884884894351,1.09242549383029,inf
O0,-DCOMPILER_ASSIST,1.09417,0.008751403696931497,1.0004268075344782,inf
O0,,1.094637,0.0064891277448427915,1.0,inf
O0,-DLOOP_UNROLL2,1.100363,0.006412985177660188,0.9947962626878586,inf
