Label,Flags,Avg Time (s),Std Time (s),Speedup vs O0,PSNR
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+COMPILER_ASSIST],-DLOOP_SWAP -DLOOP_UNROLL -DCOMPILER_ASSIST,0.008250647,0.00011102438731598067,132.67286795811287,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.00853285,0.00015502653206610954,128.2850395823201,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST,0.008780261000000001,0.000253971714936482,124.67021196750301,inf
O3_ZNVER4_C5[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.008897077,0.00045023527967916714,123.03332881124892,inf
O3_ZNVER4_ALLDEFS,-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.00913461,0.00017404068387720292,119.83401590215675,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DSTRENGTH_REDUCTION,0.009782326000000001,0.00020863590248191834,111.89946031240423,inf
O3_ZNVER4_C2[LOOP_SWAP+LOOP_UNROLL],-DLOOP_SWAP -DLOOP_UNROLL,0.01100836,0.00033867252029061944,99.43688251474335,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.011532839999999999,0.0006717033475509192,94.91478248202526,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2,0.01153974,0.0006434016029407035,94.85802973030589,inf
O3_ZNVER4_C3[LOOP_SWAP+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.03162123,0.0004274171863907917,34.61715436116812,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL2+COMPILER_ASSIST],-DLOOP_SWAP -DLOOP_UNROLL2 -DCOMPILER_ASSIST,0.03232005,0.0005974949637165708,33.86866666357261,inf
O3_ZNVER4_C2[LOOP_SWAP+COMPILER_ASSIST],-DLOOP_SWAP -DCOMPILER_ASSIST,0.03285602,0.0005472315999647674,33.316177674593575,inf
O3_ZNVER4_C4[LOOP_SWAP+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.03329157,0.001143112351870978,32.88030573505545,inf
O3_ZNVER4_C2[LOOP_SWAP+STRENGTH_REDUCTION],-DLOOP_SWAP -DSTRENGTH_REDUCTION,0.07710583,0.001161568168994923,14.19655297141604,inf
O3_ZNVER4_C3[LOOP_SWAP+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.07915065,0.0012550481117382622,13.829791669430385,inf
O3_ZNVER4,-DLOOP_SWAP,0.08478983,0.0019740627526049475,12.910003475652683,inf
O3_ZNVER4_C2[LOOP_SWAP+LOOP_UNROLL2],-DLOOP_SWAP -DLOOP_UNROLL2,0.08630287,0.0007641660262447346,12.683668573246754,inf
O3_ZNVER4_C2[LOOP_UNROLL+STRENGTH_REDUCTION],-DLOOP_UNROLL -DSTRENGTH_REDUCTION,0.1624719,0.002267290573447619,6.73739274299125,inf
O3_ZNVER4,-DLOOP_UNROLL,0.1910049,0.0030371761171632196,5.730936745601815,inf
O3_ZNVER4,,0.2082289,0.0020800498631843747,5.256892775210358,inf
O3_ZNVER4,-DSTRENGTH_REDUCTION,0.2301059,0.003115980083020072,4.757100969597042,inf
O3_ZNVER4_C3[LOOP_UNROLL+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_UNROLL -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.2359178,0.002665253033641145,4.63990847659651,inf
O3_ZNVER4,-DLOOP_UNROLL2,0.2518816,0.005433816547019849,4.345839473784509,inf
O3_ZNVER4_C2[LOOP_UNROLL+LOOP_UNROLL2],-DLOOP_UNROLL -DLOOP_UNROLL2,0.2619121,0.0032264550705413723,4.179405991552128,inf
O3_ZNVER4_C2[LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.2711564,0.002759105499170984,4.036921127437892,inf
O3_ZNVER4_C2[COMPILER_ASSIST+STRENGTH_REDUCTION],-DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.2911053,0.0037107822490682514,3.7602784971623673,inf
O3_ZNVER4,-DCOMPILER_ASSIST,0.2949137,0.004827951441576667,3.7117197336034238,inf
O3_ZNVER4_C2[LOOP_UNROLL+COMPILER_ASSIST],-DLOOP_UNROLL -DCOMPILER_ASSIST,0.2972746,0.006444676790447552,3.682241940616521,inf
O3_ZNVER4_C4[LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3012944,0.00387647778846267,3.633114322735504,inf
O3_ZNVER4_C3[LOOP_UNROLL+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.30886,0.0032807634951503577,3.5441203134106067,inf
O3_ZNVER4_C3[LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3116056,0.005595649742830989,3.5128925795942054,inf
O3_ZNVER4_C3[LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST],-DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST,0.3117507,0.003799384659242721,3.511257552910066,inf
O3_ZNVER4_C2[LOOP_UNROLL2+COMPILER_ASSIST],-DLOOP_UNROLL2 -DCOMPILER_ASSIST,0.3194536,0.004771868588113274,3.4265915300375394,inf
O0_C4[LOOP_SWAP+LOOP_UNROLL+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3618783,0.003860148559317377,3.0248760425811665,inf
O0_ALLDEFS,-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.363859,0.003924900451674612,3.0084098510686834,inf
O0_C5[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3642369,0.0037300797563710087,3.0052885910241387,inf
O0_C3[LOOP_SWAP+LOOP_UNROLL+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DSTRENGTH_REDUCTION,0.3651503,0.005593860901818075,2.9977710548231786,inf
O0_C4[LOOP_SWAP+LOOP_UNROLL+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.3675216,0.002890063905483365,2.978429022947223,inf
O0_C4[LOOP_UNROLL+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3802606,0.003944324704911824,2.8786495366598595,inf
O0_C2[LOOP_UNROLL+STRENGTH_REDUCTION],-DLOOP_UNROLL -DSTRENGTH_REDUCTION,0.3808952,0.002880823061402958,2.873853490408911,inf
O0_C3[LOOP_UNROLL+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_UNROLL -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.382628,0.0037720530808095045,2.860838725864286,inf
O0_C3[LOOP_UNROLL+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.3844506,0.0022437063681922946,2.8472760869667004,inf
O0_C4[LOOP_SWAP+LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.5272026,0.006221155648269871,2.076311839129777,inf
O0_C3[LOOP_SWAP+LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_SWAP -DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.5303936,0.003723053949530039,2.0638201516760386,inf
O0_C3[LOOP_SWAP+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_SWAP -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.5322687,0.004250457231613769,2.056549633671865,inf
O0_C2[LOOP_SWAP+STRENGTH_REDUCTION],-DLOOP_SWAP -DSTRENGTH_REDUCTION,0.5367125,0.007097623221113444,2.039522090504693,inf
O0,-DSTRENGTH_REDUCTION,0.5534191,0.006206543723272144,1.9779530558305631,inf
O0_C2[COMPILER_ASSIST+STRENGTH_REDUCTION],-DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.5596418,0.0037567028333071305,1.9559600444427134,inf
O0_C2[LOOP_UNROLL2+STRENGTH_REDUCTION],-DLOOP_UNROLL2 -DSTRENGTH_REDUCTION,0.56177,0.003755338244863345,1.948550118375848,inf
O0_C3[LOOP_UNROLL2+COMPILER_ASSIST+STRENGTH_REDUCTION],-DLOOP_UNROLL2 -DCOMPILER_ASSIST -DSTRENGTH_REDUCTION,0.5625334,0.003068410598339145,1.945905789771772,inf
